15,97,93,23,14,40,91,17,28,44,73,32,86,49,90,83,38,72,19
0,90,74,71,17,48,24,43,36,39,57,25,61,98,85,19,8,8,56
44,4,98,85,77,81,66,30,12,26,94,88,60,12,72,98,43,57,64
47,16,21,29,21,55,14,13,98,69,83,98,36,1,15,38,50,58,29
27,93,23,88,58,44,6,3,45,12,66,28,90,25,62,21,12,74,73
30,91,32,38,16,42,1,31,11,80,37,95,26,46,93,20,21,20,64
85,80,46,88,65,29,5,78,44,67,20,28,85,68,52,80,41,27,54
89,10,72,57,93,20,42,24,71,83,11,30,34,69,42,14,22,41,32
4,51,1,48,70,56,10,40,21,92,37,0,99,33,25,64,78,36,87
54,85,82,91,33,90,19,48,12,10,11,43,54,50,88,94,62,71,31
98,20,87,3,49,58,44,34,32,58,13,60,92,87,57,96,61,89,79
6,95,86,54,57,18,18,0,88,84,56,56,51,27,27,98,2,2,93
93,94,91,53,28,64,45,69,40,59,18,19,78,51,90,90,61,4,8
7,78,63,21,40,7,45,66,76,75,89,17,35,36,86,98,11,77,27
32,67,41,12,28,63,22,4,19,30,59,56,49,42,61,14,68,85,87
13,10,8,66,5,18,89,37,38,93,29,11,48,23,74,78,95,63,82
41,37,45,34,68,4,92,1,35,68,24,63,17,98,70,66,20,82,25
7,41,20,20,85,62,51,34,85,81,36,53,10,53,13,12,77,45,80
26,6,5,42,55,81,91,3,15,12,64,27,4,13,81,81,37,43,79
